Unnamed: 0,RubroN3,FechaCreacion,cantidad,totalLineaNeto,mes_año_x,PIB,IPC,IMACEC
3244,Platos combinados empaquetados,2013-03-31,39932.0,171817611.41113,2013-03,43591.2289898859,1.5,94.690431285772
3372,Postres y decoraciones,2013-03-31,375968.0,117098163.93764403,2013-03,43591.2289898859,1.5,94.690431285772
3501,"Productos de chocolates, azúcares y edulcorantes",2013-03-31,7137950.0,67957502.25372458,2013-03,43591.2289898859,1.5,94.690431285772
3631,Productos de confitería,2013-03-31,132641.036,39302000.30206183,2013-03,43591.2289898859,1.5,94.690431285772
3762,Productos de leche y mantequilla,2013-03-31,25854374.5,56584707373.16019,2013-03,43591.2289898859,1.5,94.690431285772
3888,"Productos, suministros y accesorios para tabaco",2013-03-31,1502.0,167650.0,2013-03,43591.2289898859,1.5,94.690431285772
4019,Quesos,2013-03-31,39619.75031,101747455.45520604,2013-03,43591.2289898859,1.5,94.690431285772
4147,"Salmuera, salsas y aceitunas",2013-03-31,79775.46800000001,181787820.49275315,2013-03,43591.2289898859,1.5,94.690431285772
4278,"Salsas, condimentos y productos para untar",2013-03-31,63169.1,26862867.92766084,2013-03,43591.2289898859,1.5,94.690431285772
4410,Sandwiches y panecillos con relleno,2013-03-31,22981.44,11531851.707776677,2013-03,43591.2289898859,1.5,94.690431285772
4537,Sopas y estofados,2013-03-31,24060.0,32172389.85293105,2013-03,43591.2289898859,1.5,94.690431285772
4664,Suministros y mezclas para hacer al horno,2013-03-31,6071.5,17079433.836666383,2013-03,43591.2289898859,1.5,94.690431285772
4791,Tabaco y substitutos,2013-03-31,21263.0,99382578.22,2013-03,43591.2289898859,1.5,94.690431285772
4918,"Tartas, empanadas y pastas",2013-03-31,132784.0,168726839.19225326,2013-03,43591.2289898859,1.5,94.690431285772
5046,Tentempiés,2013-03-31,20837.238,29388782.85607484,2013-03,43591.2289898859,1.5,94.690431285772
5182,Verduras,2013-03-31,1515056.0333,896859731.3654785,2013-03,43591.2289898859,1.5,94.690431285772
5309,Vinagres y vinos de cocinar,2013-03-31,2422.0,1641099.1503,2013-03,43591.2289898859,1.5,94.690431285772
6,Aceites vegetales y grasas comestibles,2013-04-30,32501.5,60958936.86766584,2013-04,41321.580759714,1.6,86.585344235856
134,Acompañamientos preparados,2013-04-30,54668.75,99653237.6485154,2013-04,41321.580759714,1.6,86.585344235856
262,Bebidas alcohólicas,2013-04-30,18955.0,41744166.23213594,2013-04,41321.580759714,1.6,86.585344235856
391,Bebidas no alcohólicas,2013-04-30,550488.0,330744330.2798456,2013-04,41321.580759714,1.6,86.585344235856
519,Bebidas y comidas infantiles,2013-04-30,14553.0,25891039.24121826,2013-04,41321.580759714,1.6,86.585344235856
648,Café y té,2013-04-30,101746.5,109928256.88741276,2013-04,41321.580759714,1.6,86.585344235856
783,Carnes procesadas y preparadas,2013-04-30,121354.0413,309241607.9661943,2013-04,41321.580759714,1.6,86.585344235856
918,Carnes y aves de corral,2013-04-30,681566.5529,1478428730.4731612,2013-04,41321.580759714,1.6,86.585344235856
1046,Cereales,2013-04-30,202164.086,131040703.55566896,2013-04,41321.580759714,1.6,86.585344235856
1173,Cereales procesados,2013-04-30,29570.0,14912337.074712,2013-04,41321.580759714,1.6,86.585344235856
1300,"Empanadas, tartas y pies",2013-04-30,82134.0,52109555.0580663,2013-04,41321.580759714,1.6,86.585344235856
1426,Ensaladas preparadas,2013-04-30,105.0,70309.042016806,2013-04,41321.580759714,1.6,86.585344235856
1561,Frutas,2013-04-30,451309.1761,269213231.5175914,2013-04,41321.580759714,1.6,86.585344235856
1689,Frutos secos,2013-04-30,19351.9,4813079.352068151,2013-04,41321.580759714,1.6,86.585344235856
1816,Grasas y aceites animales comestibles,2013-04-30,221.0,340075.5432268,2013-04,41321.580759714,1.6,86.585344235856
1945,"Hierbas, especias y extractos",2013-04-30,55879.17,41716165.8244782,2013-04,41321.580759714,1.6,86.585344235856
2079,Huevos y sustitutos,2013-04-30,357238.1,40084831.745307736,2013-04,41321.580759714,1.6,86.585344235856
2220,"Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas",2013-04-30,76754.5,28981582.4007,2013-04,41321.580759714,1.6,86.585344235856
2347,Legumbres,2013-04-30,32455.4,74126845.20683654,2013-04,41321.580759714,1.6,86.585344235856
2474,Mariscos frescos,2013-04-30,6583.11,19645374.804347605,2013-04,41321.580759714,1.6,86.585344235856
2601,Materiales y mezclas instantáneas,2013-04-30,71650.0,124934159.305,2013-04,41321.580759714,1.6,86.585344235856
2735,"Pan, galletas y pastelitos dulces",2013-04-30,968022.60309,575435961.7227741,2013-04,41321.580759714,1.6,86.585344235856
2862,Pasta o tallarines naturales,2013-04-30,80488.0,111994738.33106647,2013-04,41321.580759714,1.6,86.585344235856
2991,Pescados,2013-04-30,19762.67,43988334.1997023,2013-04,41321.580759714,1.6,86.585344235856
3118,Plantas acuáticas,2013-04-30,131.0,265655.0,2013-04,41321.580759714,1.6,86.585344235856
3245,Platos combinados empaquetados,2013-04-30,62861.0,222426281.0,2013-04,41321.580759714,1.6,86.585344235856
3373,Postres y decoraciones,2013-04-30,352432.0,107459198.4413165,2013-04,41321.580759714,1.6,86.585344235856
3502,"Productos de chocolates, azúcares y edulcorantes",2013-04-30,70615934.0,134582532.97852328,2013-04,41321.580759714,1.6,86.585344235856
3632,Productos de confitería,2013-04-30,62134.0,32481109.78122563,2013-04,41321.580759714,1.6,86.585344235856
3763,Productos de leche y mantequilla,2013-04-30,5279028.1,614792088.5180545,2013-04,41321.580759714,1.6,86.585344235856
3889,"Productos, suministros y accesorios para tabaco",2013-04-30,8004.0,506778.0,2013-04,41321.580759714,1.6,86.585344235856
4020,Quesos,2013-04-30,52543.1932,112646415.01432048,2013-04,41321.580759714,1.6,86.585344235856
4148,"Salmuera, salsas y aceitunas",2013-04-30,56104.158,107021624.94318886,2013-04,41321.580759714,1.6,86.585344235856
4279,"Salsas, condimentos y productos para untar",2013-04-30,23154.09,21432200.44452845,2013-04,41321.580759714,1.6,86.585344235856
4411,Sandwiches y panecillos con relleno,2013-04-30,71713.515,38666349.96204448,2013-04,41321.580759714,1.6,86.585344235856
4538,Sopas y estofados,2013-04-30,31187.0,224608863.1874236,2013-04,41321.580759714,1.6,86.585344235856
4665,Suministros y mezclas para hacer al horno,2013-04-30,8482.0,22594797.173521813,2013-04,41321.580759714,1.6,86.585344235856
4792,Tabaco y substitutos,2013-04-30,13895.0,71713137.99,2013-04,41321.580759714,1.6,86.585344235856
4919,"Tartas, empanadas y pastas",2013-04-30,121498.2,194779478.69500047,2013-04,41321.580759714,1.6,86.585344235856
5047,Tentempiés,2013-04-30,10090.743,22234205.06518468,2013-04,41321.580759714,1.6,86.585344235856
5183,Verduras,2013-04-30,1772771.223047,1136786971.6550658,2013-04,41321.580759714,1.6,86.585344235856
5310,Vinagres y vinos de cocinar,2013-04-30,961.0,1102452.184,2013-04,41321.580759714,1.6,86.585344235856
7,Aceites vegetales y grasas comestibles,2013-05-31,62010.819,76338346.43661538,2013-05,41321.580759714,1.3,82.262492545453
135,Acompañamientos preparados,2013-05-31,67445.2,122241605.59386,2013-05,41321.580759714,1.3,82.262492545453
263,Bebidas alcohólicas,2013-05-31,15199.0,40476874.946022,2013-05,41321.580759714,1.3,82.262492545453
392,Bebidas no alcohólicas,2013-05-31,621874.0,300460974.1156408,2013-05,41321.580759714,1.3,82.262492545453
520,Bebidas y comidas infantiles,2013-05-31,8524.0,30262972.52718,2013-05,41321.580759714,1.3,82.262492545453
649,Café y té,2013-05-31,208965.5,94301638.9852282,2013-05,41321.580759714,1.3,82.262492545453
784,Carnes procesadas y preparadas,2013-05-31,96216.7346,255056737.43503523,2013-05,41321.580759714,1.3,82.262492545453
919,Carnes y aves de corral,2013-05-31,585086.5478,1411178764.456844,2013-05,41321.580759714,1.3,82.262492545453
1047,Cereales,2013-05-31,350650.0316,195142247.6625592,2013-05,41321.580759714,1.3,82.262492545453
1174,Cereales procesados,2013-05-31,46699.0,20478561.88320564,2013-05,41321.580759714,1.3,82.262492545453
1301,"Empanadas, tartas y pies",2013-05-31,53072.0,30178005.07710741,2013-05,41321.580759714,1.3,82.262492545453
1427,Ensaladas preparadas,2013-05-31,357.0,324736.0,2013-05,41321.580759714,1.3,82.262492545453
1562,Frutas,2013-05-31,443303.945,242043379.23532432,2013-05,41321.580759714,1.3,82.262492545453
1690,Frutos secos,2013-05-31,12908.5,8965130.331900112,2013-05,41321.580759714,1.3,82.262492545453
1817,Grasas y aceites animales comestibles,2013-05-31,2116.75,2967490.125908384,2013-05,41321.580759714,1.3,82.262492545453
1946,"Hierbas, especias y extractos",2013-05-31,245722.54,41882210.34053236,2013-05,41321.580759714,1.3,82.262492545453
2080,Huevos y sustitutos,2013-05-31,339242.0,35466994.718216054,2013-05,41321.580759714,1.3,82.262492545453
2221,"Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas",2013-05-31,88080.0,39573436.92655491,2013-05,41321.580759714,1.3,82.262492545453
2348,Legumbres,2013-05-31,30689.05,82106683.05241872,2013-05,41321.580759714,1.3,82.262492545453
2475,Mariscos frescos,2013-05-31,7347.74,23450016.031166807,2013-05,41321.580759714,1.3,82.262492545453
2602,Materiales y mezclas instantáneas,2013-05-31,26229.0,37531064.9838016,2013-05,41321.580759714,1.3,82.262492545453
2736,"Pan, galletas y pastelitos dulces",2013-05-31,1470516.03589,730763136.0789958,2013-05,41321.580759714,1.3,82.262492545453
2863,Pasta o tallarines naturales,2013-05-31,105661.0,158502038.1462844,2013-05,41321.580759714,1.3,82.262492545453
2992,Pescados,2013-05-31,21315.6,41806551.97425692,2013-05,41321.580759714,1.3,82.262492545453
3119,Plantas acuáticas,2013-05-31,141.0,200709.0,2013-05,41321.580759714,1.3,82.262492545453
3246,Platos combinados empaquetados,2013-05-31,39914.0,201682943.276,2013-05,41321.580759714,1.3,82.262492545453
3374,Postres y decoraciones,2013-05-31,353746.0,104966256.88047823,2013-05,41321.580759714,1.3,82.262492545453
