category,createdAt,quantity,total,Rubro,Clase,mes_año_x,PIB,IPC,IVCM_alimentos
"Alimentos, bebidas y tabaco / Productos de panadería / Pan, galletas y pastelitos dulces",2020-12-31 00:00:00+00:00,38068278.84597317,1538863392.1561856,"Alimentos, bebidas y tabaco","Pan, galletas y pastelitos dulces",2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Productos de panadería / Suministros y mezclas para hacer al horno",2020-12-31 00:00:00+00:00,11044.0,25460310.0,"Alimentos, bebidas y tabaco",Suministros y mezclas para hacer al horno,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Productos de panadería / Tartas, empanadas y pastas",2020-12-31 00:00:00+00:00,429099.4,262924871.497764,"Alimentos, bebidas y tabaco","Tartas, empanadas y pastas",2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Productos lácteos y huevos / Huevos y sustitutos",2020-12-31 00:00:00+00:00,202451.5,250048534.8709195,"Alimentos, bebidas y tabaco",Huevos y sustitutos,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Productos lácteos y huevos / Productos de leche y mantequilla",2020-12-31 00:00:00+00:00,3254549.0,1215267480.36541,"Alimentos, bebidas y tabaco",Productos de leche y mantequilla,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Productos lácteos y huevos / Quesos",2020-12-31 00:00:00+00:00,249731.08,333327384.2069915,"Alimentos, bebidas y tabaco",Quesos,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Tabaco, productos para fumar y substitutos / Productos, suministros y accesorios para tabaco",2020-12-31 00:00:00+00:00,60.0,78000.0,"Alimentos, bebidas y tabaco","Productos, suministros y accesorios para tabaco",2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Tabaco, productos para fumar y substitutos / Tabaco y substitutos",2020-12-31 00:00:00+00:00,2.0,5127735.0,"Alimentos, bebidas y tabaco",Tabaco y substitutos,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Aceites y grasas comestibles / Aceites vegetales y grasas comestibles",2021-01-31 00:00:00+00:00,83593.0,157067835.8362944,"Alimentos, bebidas y tabaco",Aceites vegetales y grasas comestibles,2021-01,48666.060874743,0.7,118.48722120024
"Alimentos, bebidas y tabaco / Aceites y grasas comestibles / Grasas y aceites animales comestibles",2021-01-31 00:00:00+00:00,4340.0,6148679.0,"Alimentos, bebidas y tabaco",Grasas y aceites animales comestibles,2021-01,48666.060874743,0.7,118.48722120024
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Acompañamientos preparados",2021-01-31 00:00:00+00:00,13993.0,46055832.75729,"Alimentos, bebidas y tabaco",Acompañamientos preparados,2021-01,48666.060874743,0.7,118.48722120024
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Bebidas y comidas infantiles",2021-01-31 00:00:00+00:00,20552.0,57224928.0,"Alimentos, bebidas y tabaco",Bebidas y comidas infantiles,2021-01,48666.060874743,0.7,118.48722120024
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Empanadas, tartas y pies",2021-01-31 00:00:00+00:00,20743.0,22285087.48737112,"Alimentos, bebidas y tabaco","Empanadas, tartas y pies",2021-01,48666.060874743,0.7,118.48722120024
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Ensaladas preparadas",2021-01-31 00:00:00+00:00,5845.0,9123065.0,"Alimentos, bebidas y tabaco",Ensaladas preparadas,2021-01,48666.060874743,0.7,118.48722120024
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas",2021-01-31 00:00:00+00:00,67749.0,81953063.564,"Alimentos, bebidas y tabaco","Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas",2021-01,48666.060874743,0.7,118.48722120024
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Materiales y mezclas instantáneas",2021-01-31 00:00:00+00:00,30185.0,37813300.0,"Alimentos, bebidas y tabaco",Materiales y mezclas instantáneas,2021-01,48666.060874743,0.7,118.48722120024
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Pasta o tallarines naturales",2021-01-31 00:00:00+00:00,248003.0,193146230.5650487,"Alimentos, bebidas y tabaco",Pasta o tallarines naturales,2021-01,48666.060874743,0.7,118.48722120024
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Platos combinados empaquetados",2021-01-31 00:00:00+00:00,575.0,2224545.0,"Alimentos, bebidas y tabaco",Platos combinados empaquetados,2021-01,48666.060874743,0.7,118.48722120024
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Postres y decoraciones",2021-01-31 00:00:00+00:00,214165.0,72863911.62216,"Alimentos, bebidas y tabaco",Postres y decoraciones,2021-01,48666.060874743,0.7,118.48722120024
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Sandwiches y panecillos con relleno",2021-01-31 00:00:00+00:00,51343.0,73127996.21254,"Alimentos, bebidas y tabaco",Sandwiches y panecillos con relleno,2021-01,48666.060874743,0.7,118.48722120024
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Sopas y estofados",2021-01-31 00:00:00+00:00,25953.0,11175318.9,"Alimentos, bebidas y tabaco",Sopas y estofados,2021-01,48666.060874743,0.7,118.48722120024
"Alimentos, bebidas y tabaco / Alimentos preparados y conservados / Tentempiés",2021-01-31 00:00:00+00:00,69111.0,51447601.77,"Alimentos, bebidas y tabaco",Tentempiés,2021-01,48666.060874743,0.7,118.48722120024
"Alimentos, bebidas y tabaco / Bebidas / Bebidas alcohólicas",2021-01-31 00:00:00+00:00,4077.0,6757941.64,"Alimentos, bebidas y tabaco",Bebidas alcohólicas,2021-01,48666.060874743,0.7,118.48722120024
"Alimentos, bebidas y tabaco / Bebidas / Bebidas no alcohólicas",2021-01-31 00:00:00+00:00,1595646.0,795512668.6079019,"Alimentos, bebidas y tabaco",Bebidas no alcohólicas,2021-01,48666.060874743,0.7,118.48722120024
"Alimentos, bebidas y tabaco / Bebidas / Café y té",2021-01-31 00:00:00+00:00,100913.0,208656208.4271668,"Alimentos, bebidas y tabaco",Café y té,2021-01,48666.060874743,0.7,118.48722120024
"Alimentos, bebidas y tabaco / Cereales y Legumbres / Cereales",2021-01-31 00:00:00+00:00,204272.0,479388351.75251126,"Alimentos, bebidas y tabaco",Cereales,2021-01,48666.060874743,0.7,118.48722120024
"Alimentos, bebidas y tabaco / Cereales y Legumbres / Cereales procesados",2021-01-31 00:00:00+00:00,61595.0,37192703.977,"Alimentos, bebidas y tabaco",Cereales procesados,2021-01,48666.060874743,0.7,118.48722120024
